Facet,1,2,3,4
Conditions,,,,
,Cancer,,,
,,Breast Cancer,,
,,Lung Cancer,,
,,Prostate Cancer,,
,Cardiovascular Kidney Metabolic Syndrome ,,,
,,Chronic Kidney Disease,,
,,Diabetes,,
,,Dyslipidemia,,
,,,Homozygous Familial Hypercholesterolemia,
,,,Hypertriglyceridemia,
,,,Primary Hyperlipidemia,
,,Liver Disease,,
,,Obesity,,
,Cardiovascular Disease,,,
,,Heart Disease,,
,,,Cardiac Arrhythmia,
,,,,Atrial Arrhythmia
,,,,Atrial Fibrillation
,,,,Bradyarrhythmia
,,,,Genetic Arrhythmic Conditions
,,,,Heart Conduction Disorders
,,,,Syncope
,,,,Tachyarrhythmia
,,,,Ventricular Arrhythmia
,,,Cardiomyopathy,
,,,,Cardiac Amyloidosis
,,,,Hypertrophic Cardiomyopathy
,,,,Myocarditis
,,,Cardiotoxicity,
,,,Congenital Heart Disease ,
,,,,Patent Foramen Ovale
,,,Endocarditis,
,,,Heart Failure,
,,,,Acute Heart Failure
,,,,Chronic Heart Failure
,,,,HFpEF
,,,,HFrEF
,,,Ischemic Heart Disease,
,,,,Acute Coronary Syndrome
,,,,Angina 
,,,,Cardiogenic Shock
,,,,Coronary Artery Disease
,,,,Myocardial Infarction
,,,,NSTEMI
,,,,STEMI
,,,Pericardial Disease,
,,,,Constrictive Pericarditis
,,,,Pericardial Effusion
,,,,Pericarditis
,,,Sudden Cardiac Death,
,,,Valvular Disease,
,,,,Stenosis
,,,,Regurgitation
,,MACE,,
,,Vascular Disease,,
,,,Arteriosclerotic Disease,
,,,,Atherosclerosis
,,,Cerebrovascular Disease,
,,,,Stroke
,,,,Transient Ischemic Attack
,,,Noncoronary Vascular Disease,
,,,,Aortic Disease
,,,,Extracranial Carotid and Vertebral Artery Disease
,,,,Hypertension
,,,,Peripheral Artery Disease
,,,,Pulmonary Hypertension
,,,,Pulmonary Embolism
,,,,Pulmonary Vascular Disease
,,,,Thrombosis
,Coagulopathy,,,
,COVID 19,,,
,Pregnancy,,,
,,Preeclampsia,,
,Sleep Apnea,,,
Diagnosis and Testing ,,,,
,Advanced Lipid Testing,,,
,,Apo(b) Screening,,
,,LP(a) Screening,,
,Blood Pressure,,,
,Cholesterol  ,,,
,Heart Rate,,,
,Hemodynamics,,,
,Imaging,,,
,,Angiography,,
,,Electrocardiogram,,
,,Invasive Imaging,,
,,Multimodal Imaging,,
,,Noninvasive Imaging,,
,,,Computed Tomography,
,,,Magnetic Resonance Imaging,
,,,Radionuclide Imaging,
,,Ultrasound,,
,,,Echocardiography,
,,,,Transesophageal Echocardiography
,,,,Transthorasic Echocardiogram 
,,,Focused Cardiac Ultrasound,
,,,Peripheral Ultrasound,
,,,Point of Care Ultrasound ,
,Stress Testing,,,
,Stroke Volume,,,
Treatments,,,,
,ACE Inhibitors ,,,
,Anticoagulants ,,,
,Antithrombotic Therapy,,,
,ARBs,,,
,ARNIs,,,
,Beta Blockers,,,
,Cardiac Rehabilitation,,,
,Cardiovascular Disease Prevention,,,
,,Lipid Lowering,,
,,,Nonstatins,
,,,Statins,
,,Exercise,,
