id,language,label,href
StrokePrevention,main,"English","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDEN"
StrokePrevention,Spanish,"Español","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDES"
StrokePrevention,Chinese,"中国人","https://www.ncdacademy.org.cn/URL/Authenticated/Product/NCDCVDCN"
StrokePrevention,Portuguese,"Português","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDPT"
StrokePrevention,Italian,"Italiano","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVIT"
StrokePrevention,French,"Français","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDFR"
StrokePrevention,Korean,"한국어","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDKOR2"
StrokePrevention,Greek,"Ελληνικά","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDGR"
StrokePrevention,Turkish,"Türk","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDTR"
StrokePrevention,Japanese,"日本","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDJP"
StrokePrevention,Serbian,"Srpski","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDSRB"
StrokePrevention,Hungarian,"Magyar","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDHU"
StrokePrevention,Russian,"Русский","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDRUS"
StrokePrevention,Croatian,"Hrvatski","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDHR"
StrokePrevention,Bulgarian,"български","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDBG"
StrokePrevention,Thai,"แบบไทย","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDTH"
StrokePrevention,Polish,"Polski","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCVDPOL"
Cancer,main,"English","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCANCEREN"
Cancer,Spanish,"Español","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCANCERES"
Cancer,Chinese,"中国人","https://www.ncdacademy.org.cn/URL/Authenticated/Product/NCDCANCERCN"
Cancer,Russian,"Русский","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCANCERRUS"
Cancer,Korean,"한국인","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCANCERKOR"
Cancer,Turkish,"Türkçe","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCANCERTR"
Cancer,Vietnamese,"Tiếng Việt","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCANCERVN"
Cancer,Thai,"แบบไทย","https://ncdacademy.acc.org/URL/Authenticated/Product/NCDCANCERTHA"
