"id","alt","title","type","link","link_guid"
"Health Equity","Related Education Image for Health Equity","Quick Access Content Library","Quick Access Content","https://www.youtube.com/playlist?list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70","{sitecore-guid-from-web-team}"
"Health Equity","Related Education Image for Health Equity","Health Equity and Social Determinants of Health in NCDs","Quick Access Content","https://www.youtube.com/watch?v=spnii1pCjIo&list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70&index=4","{sitecore-guid-from-web-team}"
"Health Equity","Related Education Image for Health Equity","Social Determinants of Health & CVD: A Case Study","Quick Access Content","https://www.youtube.com/watch?v=oK_dxezJczc&list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70&index=3","{sitecore-guid-from-web-team}"
"CRDs","Related Education Image for CRDs","Quick Access Content Library","Quick Access Content","https://www.youtube.com/playlist?list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70","{sitecore-guid-from-web-team}"
"CRDs","Related Education Image for CRDs","AMR","Quick Access Content","#","{sitecore-guid-from-web-team}"
"Care Integration","Related Education Image for Care Integration","Quick Access Content Library","Quick Access Content","https://www.youtube.com/playlist?list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70","{sitecore-guid-from-web-team}"
"Care Integration","Related Education Image for Care Integration","Foundational Concepts in Care Integration ","Quick Access Content","#","{sitecore-guid-from-web-team}"
"HIV","Related Education Image for HIV Care","Quick Access Content Library","Quick Access Content","https://www.youtube.com/playlist?list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70","{sitecore-guid-from-web-team}"
"HIV","Related Education Image for HIV Care","HIV/NCD Health Systems Integration ","Quick Access Content","https://www.youtube.com/watch?v=3idO0uhf-_M&list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70&index=1","{sitecore-guid-from-web-team}"
"HIV","Related Education Image for HIV Care","Nutrition and NCDs for those living with HIV/AIDS ","Quick Access Content","#","{sitecore-guid-from-web-team}"
"HIV","Related Education Image for HIV Care","NCD Academy Infographic on HIV and Lifelong Care","Infographic","https://www.acc.org/-/media/Non-Clinical/Files-PDFs-Excel-MS-Word-etc/Education-and-Meeting/Products-and-Resources/NCD-Academy/G24227-NCD-Academy-Infographic-HIV.pdf","{28C495B2-0C49-4636-A1E8-9A81491FE6E3}"
"Vaccine","Related Education Image for Vaccine","Quick Access Content Library","Quick Access Content","https://www.youtube.com/playlist?list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70","{sitecore-guid-from-web-team}"
"Vaccine","Related Education Image for Vaccine","Influenza Vaccination: An Opportunity for CVD Prevention","Quick Access Content","https://www.youtube.com/watch?v=C-MWXGR9Tmw&list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70&index=2","{sitecore-guid-from-web-team}"
"Vaccine","Related Education Image for Vaccine","Flu","Quick Access Content","#","{sitecore-guid-from-web-team}"
"Health Equity","Related Education Image for Health Equity","Quick Access Content Library","Quick Access Content","https://www.youtube.com/playlist?list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70","{sitecore-guid-from-web-team}"
"Health Equity","Related Education Image for Health Equity","Health Equity and Social Determinants of Health in NCDs","Quick Access Content","https://www.youtube.com/watch?v=spnii1pCjIo&list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70&index=4","{sitecore-guid-from-web-team}"
"Health Equity","Related Education Image for Health Equity","Social Determinants of Health & CVD: A Case Study","Quick Access Content","https://www.youtube.com/watch?v=oK_dxezJczc&list=PLCROrnGF2SYDPMJKNdhmHGJZZPG7afB70&index=3","{sitecore-guid-from-web-team}"
