section_title,icon_class,link_text,link_url,guid,
"Policies, Reports, and Tools",fa-tools,Media Center,https://www.acc.org/jacc-journals,,
,,Annual Report,https://www.acc.org/Membership/Join-Us/Benefits/ACC-Member-Publications,,
,,"Financial Transparency ",https://www.acc.org/Guidelines,,
,,Our Policies,https://www.acc.org/Clinical-Topics,,
Clinical & Practice Support,fa-newspaper,Access all <em>JACC</em> Journals,https://www.acc.org/jacc-journals,,
,,Read <em>Cardiology</em> magazine,https://www.acc.org/Membership/Join-Us/Benefits/ACC-Member-Publications,,
,,Learn from evidence-based clinical guidelines,https://www.acc.org/Guidelines,,
,,Explore 21 clinical topic hubs,https://www.acc.org/Clinical-Topics,,
,,Access 12+ point-of-care Mobile Apps,https://www.acc.org/Tools-and-Practice-Support/Mobile-Resources,,
,,Receive timely updates on the latest clinical guidance,https://www.acc.org/My-ACC/Personalization,,
,,Access practice solutions and quality programs,https://www.acc.org/Tools-and-Practice-Support/Practice-Solutions,,
Connections & Networking,fa-users,Join the conversation on DocMatter,https://www.acc.org/Membership/ACC-DocMatter-Community,,
,,Connect with your specialty in a Member Section,https://www.acc.org/Membership/Sections-and-Councils,,
,,Get involved in your local ACC Chapter,https://www.acc.org/Membership/Chapters,,
,,Build your professional profile by participating in ACC committees,https://www.acc.org/About-ACC/Leadership,,
,,Participate in ACC advocacy activities,https://www.acc.org/Tools-and-Practice-Support/Advocacy-at-the-ACC,,
Educational Discounts,fa-calendar,Explore the ACC’s Collaborative Maintenance Pathway,https://www.acc.org/Education-and-Meetings/Maintenance-of-Certification-Information-Hub/Collaborative-Maintenance-Pathway,,
,,Save on the ACC Annual Scientific Session,https://accscientificsession.acc.org/,,
,,Access free online CME,https://www.acc.org/education-and-meetings/education-catalog,,
,,View your credit transcript,https://www.acc.org/My-ACC/My-Transcript,,
,,Browse the full online learning catalog,https://www.acc.org/education-and-meetings/education-catalog,,
