name,current icon,class,suggested class icon,synonyms,usage,category,sub,image,inlineCSS,css,url
Accreditation Services,,award,,accreditation,Accreditation Content,content,product,,,far,
Action Plan,,file-signature,, ,"Multi-page booklet that includes information about how to manage a health condition or initiate a medication, with input areas to record progress or goals.",content, ,,,far,"https://www.cardiosmart.org/search?sort=relevancy&q=action%20plan ; https://www.cardiosmart.org/topics/manage-your-care/your-responsibilities "
"Add, New",,plus,,"new, another, expand","Used in buttons - the plus icon is combined with ""Add [new item being added]"". For example: ""Add User""",action,button & link,,,far,https://memberhub.acc.org/discuss/viewcategory/336 
Annual Scientific Sessions,,,,,,,,,,far,https://www.acc.org/Education-and-Meetings 
Announcement,,megaphone,,"section news, updates","Time sensitive messages that are not evergreen news. ","content ",article,,,far,
Apps & Tools,,"mobile-alt,heart",,applications,"Simple icon used in lists, search, ui or small graphic moments when the full graphic would deteriorate or become unreadable.",,,,font-size: 50%;top: -9%;,"fas, fas c_primary",https://www.acc.org/guidelines/hubs/atrial-fibrillation 
Audio,,headphones,,"sound clip, listen","The audio icon is often placed, with the title of the file.  Audio files include but are not limited to podcast, mp3, or wav.","content,ui",asset,,,far,https://www.acc.org/My-ACC/My-Library 
Award,,trophy,,,"Simple icon used in lists, search, ui or small graphic moments when the full graphic would deteriorate or become unreadable.",,,,,far,https://www.acc.org/membership/current-members 
Bookmark,,bookmark,,save to library, Appears when an item is saved to library,ui, ,,,far,https://memberhub.acc.org/profile/12609 
Brute Force Lock,,"lock,ban",,,Icon to use that the users authentication has been revoked because they have had too many failed attempts. This icon is always an alert state.,ui,,,top: 20%;font-size: 75%;,"fas,far c_white",
Career & Practice Resources,,"clipboard,tasks",,resources,"Simple icon used in lists, search, ui or small graphic moments when the full graphic would deteriorate or become unreadable.",,,,top: 15%;font-size: 85%;,"fas,far c_white",https://www.acc.org/membership/current-members 
Cart,,shopping-cart,,"shopping cart, bag, shopping bag, basket, shopping basket",Signifies the user's products or potential purchases when signed into acc.org,,,,,far,https://www.acc.org/ 
Certificate Program,,,,,"The primary purpose of an assessment-based certificate program is on facilitating the accomplishment of the intended learning outcomes by providing education and training that supports the accomplishment of intended learning outcomes. ",content,product,,,far,
Certified Patient Cases,,,,,"A format used for applicaiton of knowledge in a real situation.  to show the application of a theory or concept to real situations.  ",content,product,,,far,
Chapter Meetings,,,,,,,,,,far,https://www.acc.org/Education-and-Meetings 
Clinical Toolkit,,"box,tools",,toolkit,"Simple icon used in lists, search, ui or small graphic  moments when the full graphic would deteriorate or become unreadable.",content,product,,top: 22%;font-size: 75%;,"far,fas c_white",
Clinical Trials,,microscope,,,,content,,,,far,
Collapse,,minus,,"minimize,hide","In combination with the ""Expand"" icon, these icons toggle to reflect the opposite state of complex content - such as navigation and sections of content.",action,hidden content,,,far,
Credit,,file-certificate,,certificate,"When denoting the types of education credits or certificates that are attached to a content item. ",ui, ,,,far,
Decision Aid,,sitemap,, ,Decision Aid: Multi-page booklet or video to support shared decision-making.,content, ,,,far,"https://www.cardiosmart.org/search?sort=relevancy&q=decision%20aid ; https://www.cardiosmart.org/assets/decision-aid/choosing-between-tavr-and-surgery "
Discussion Guide,,user-md-chat,, ,Multi-page booklet for clinician to use with patient to learn about a topic.,content, ,,,far,
Down Voted,,thumbs-down,,"unliked, disapproved, disliked", ,ui, ,,,far,
Download,,arrow-to-bottom,,"save local copy, save to disk, save to drive","This icon must always be connected to the name of the file type it is downloading.  This can either be the title of the file or the type of file. For example: (Download) The complications of the heart, or (Download) Presentation",action,button & link,,,far," ; https://www.cardiosmart.org/assets/fact-sheet/hypertrophic-cardiomyopathy-fact-sheet "
Drill and Practice,,,,,"Drill & Practice products feature 3 convenient modes:

Learn Mode: Provides an overview of the topic.
Drill/Practice Mode: Includes “flash cards” that you can use to reinforce & apply what you learned in the Learn section. Turn each card over to see the answer and explanation.
Perform Mode: Practice by answering multiple choice questions featuring case-based scenarios. Receive detailed commentary on how your answer compares to the experts’.",content,product,,,far,https://www.acc.org/Education-and-Meetings 
Editor in Chief,,users-medical,,"editor, editorial board",,ui,users,,,far,
Editors Pick,,thumbs-up,,"approved, liked, up voted"," Signifies that content (typically an article, jscan, etc.) is picked by the editor of ACC.org",ui, ,,,far,https://www.acc.org/Latest-in-Cardiology#sort=%40commonsortdate%20descending&f:@themecomputed=[Clinical%20Updates%20and%20Discoveries]&f:@themecomputed:lookupvalues={%22Clinical%20Updates%20and%20Discoveries%22:%22Clinical%20Updates%20and%20Discoveries%22} 
Education,,,,,"Simple icon used in lists, search, ui or small graphic moments when the full graphic would deteriorate or become unreadable.",,,,,far,https://www.acc.org/guidelines/hubs/atrial-fibrillation 
"Educational Activities, ",,university,,Education,"Simple icon used in lists, search, ui or small graphic moments when the full graphic would deteriorate or become unreadable.",,,,,far,"https://www.acc.org/My-ACC/My-Library ; https://www.acc.org/membership/current-members "
"Event, Date",,calendar-alt,,calendar, Signifies the date of an event,"content,ui", ,,,far,"https://www.acc.org/education-and-meetings/meetings?w_nav=MN#sort=%40startz32xdatetime%20ascending&f:@meetingtypedescription=[Chapter%20Meetings] ; https://www.acc.org/membership/current-members ; https://www.acc.org/Education-and-Meetings/Meetings#sort=%40startz32xdatetime%20ascending  ; https://www.acc.org/#sort=%40commonsortdate%20descending "
Expand,,plus,," show, maximize, more","In combination with the ""Collapse"" these icons toggle to reflect the opposite state of complex content - such as navigation, and sections of content.",action,hidden content,,,far,Cardiosmart.org 
Expert Analysis,,user-chart,,,Either a written or video format in which one or more experts teaches a topic,content,product,,,far,
