SessionNumber,PresentationNumber,SessionTitle,PresentationTitle,FirstName,FullName,Location,PersonifyID,Role,DateStart,StartTime,EndTime,TimeZone,Channel,SessionFormat,SessionDescription,Filter-Date,Filter-Format,Filter-SessionPathway,Filter-AbstractPathway,CME,CNE,COP,MOCABIM,ECME,MOCABP,CPE,CNErx,AAPA,IPCE,Linkstovideoplayer,PresentationAttachmentULR,PresentationAttachmentName,Featured
101,101_01,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Drug Coated Balloons: Present Status and Future of the Technology,"Bruno ",Scheller (Germany),,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,true
101,101_02,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Intravascular Imaging or Physiology to Optimize the Effect of Drug Coated Balloon,"Duk-Woo ",Park (Korea),,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,
101,101_03,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Antiplatelet Regimen After Drug Coated Balloon,"Yundai ",Chen (China),,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,
101,101_04,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Discussion,,,,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,
101,101_05,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Case: Drug Coated Balloon in De Novo Ostial Left Anterior Descending Artery,"Chunguang ",Qiu (China),,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,
101,101_06,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Case: Drug Coated Balloon in Ostial LIMA,"Jun ",Jiang (China),,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,
101,101_07,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Case: Drug Coated Balloon in Chronic Total Occlusion,"Jie ",Qian (China),,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,
101,101_08,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Discussion,,,,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,true,,true,,,,,,,,,,,
101,101_09,Nothing Left Behind: Drug Coated Balloon in Coronary Intervention,Closing Remarks,"Jian'an ",Wang (China),,,,7/9/2021,5:10 PM,6:10 PM,SGT,1,Education Sessions,"Chairs: Jian'an Wang (China) and Bruno Scheller (Germany) Panelists: Eun?Seok Shin (Korea), Takashi Kubo (Japan), Rosli Mohd Ali (Malaysia), Qi Zhang (China)","July 9 ",Education Sessions,Plenary,,,true,true,,,,,,,,,,,
102,102_01,"Dyslipidemia: Today and Tomorrow Symposia  Sponsored by Sanofi    ",Welcome & Introduction,"Rohit ",Khurana (Singapore),,,,7/9/2021,6:15 PM,7:00 PM,SGT,1,Industry Sessions,Chair: Rohit Khurana (Singapore),"July 9 ",Industry Sessions,,,,true,true,,,,,,,,,,,
