name,hex,font_color,contrast,cmyk,rgb,type
1,#45a547,c_black,6.72,"(69, 0, 76, 35)","(69, 165, 71)",current
2a,#f0da10,c_black,14.74,"(0, 8, 94, 6)","(240, 218, 16)",current
2b,#f99b1c,c_black,9.73,"(0, 38, 89, 2)","(249, 155, 28)",current
3:No-Benefit,#f37321,c_black,7.28,"(0, 55, 87, 4)","(243, 115, 33)",current
3:Harm,#ef3824,c_black,5.26,"(0, 78, 90, 6)","(239, 56, 36)",current
1,#79c78d,c_black,10.36,"(49, 0, 43, 22)","(121, 199, 141)",proposed
2a,#ffda68,c_black,15.48,"(0, 14, 59, 0)","(255, 218, 104)",proposed
2b,#faa74b,c_black,10.69,"(0, 34, 70, 2)","(250, 167, 75)",proposed
3:No-Benefit,#FF7F7F,c_black,8.59,"(0, 50, 50, 0)","(255, 127, 127)",proposed
3:Harm,#af1c08,c_white,7.01,"(0, 85, 93, 31)","(175, 28, 8)",proposed
