image_src,label,sublabel,font_classes,background_classes
ContentPlan_Feb.png,Completed the <br>Content Implementation Plan,February,c_black,bg_white-4 bg-blend_screen
CRM_Support_Continuation.png,Continued One <br>CRM Support,User Experience | UAT | Change Management,c_white,bg_black-4 bg-blend_mulitiply
"Projects_Analyses_2023.png","Conducted Over 150 <br>Projects/Analyses","2023",c_white,bg_black-4 bg-blend_mulitiply
Taxonomy_June.png,Completed the <br>Taxonomy,June,c_white,bg_black-4 bg-blend_mulitiply
ACC_CardsConfusion.png,ACC.23 Cards <br>Against Confusion,UX Surveys On The Ground,c_white,bg_black-4 bg-blend_mulitiply
TeamMembers_OctNov.png,Hired Two<br>Team Members,And They are Terrific!,c_black,bg_white-4 bg-blend_screen
"Published_Papers.png","Published 4 Papers <br>(2 JACC, 1 Poster ACC.22, 1 Cardiology Magazine)","And 2 Awaiting Approval (2 JACC Advances)","c_black","bg_white-4 bg-blend_screen"
CVBoard_Website.png,CVBoard Website,One and Two,c_black,bg_white-4 bg-blend_screen
Guidelines_Launch.png,Launch of 2 New <br>Guidelines,New Tools | ACC.org | JACC, c_white,bg_black-4 bg-blend_mulitiply
ArchesFramework_MVP.png,MVP of Arches <br>Framework on ACC.org,Beginning of Converting the ACC.org,c_white,bg_black-4 bg-blend_mulitiply
"InsightsHub_Launch.png","Developed and Launched <br>ACC’s Insights Hub","-",c_white,bg_black-5 bg-blend_mulitiply
UXBestPractices.png,Defining UX <br>Best Practices<br>For Our Digital Spaces, Conquering the Chaos,c_white,bg_black-4 bg-blend_mulitiply
ContentAudit_Dec.png,Completed the <br>Content Audit,Almost - December Maybe?,c_black,bg_white-4 bg-blend_screen
"HFMarket_InsightsDashboard.png","Developed and Launched <br>the HF Market Insights Dashboard","Department Supports 20+ Dashboards",c_white,bg_black-4 bg-blend_mulitiply
HeartHealth_Calculator.png,Cardiosmart Heart <br>Health Risk Calculator,"Love Your Heart, Crunch the Numbers",c_white,bg_black-4 bg-blend_mulitiply
StaffCouncil_Sept.png,Formed Enterprise Content <br>Strategy Staff Council,September,c_white,bg_black-4 bg-blend_mulitiply
"DataMigration_SharePoint.png","Facilitated the ECDS Division","Data Migration To SharePoint",c_white,bg_black-4 bg-blend_mulitiply
JACC_FocusGroups.png,JACC Focus <br>Groups,Do you know JACC?,c_white,bg_black-4 bg-blend_mulitiply
"MemberEngagement_Index.png","Completed the Second Iteration <br>of the ACC Member Engagement Index","-",c_white,bg_black-3 bg-blend_mulitiply
"GHATI_HealthCatalyst.png","Supported and Facilitated <br>the Transfer of GHATI Reporting","To Health Catalyst",c_white,bg_black-3 bg-blend_mulitiply
"VerintACC_SurveyTheme.png","New Verint ACC Survey Theme","-","c_black","bg_white-4 bg-blend_screen"
