title,url,start_date,end_date,city,country,tagline,description
53rd International Congress of Egyptian Society of Cardiology (CardioEgypt),https://cardio-egypt.org/,2026-02-10,2026-02-12,"Cairo","Egypt","Join ACC President Chris Kramer, MD, FACC, for an ACC educational session.",
XXXI Colombian Congress of Cardiology and Cardiovascular Surgery,https://scc.org.co/eventos/xxxi-congreso-colombiano-de-cardiologia-y-cirugia-cardiovascular/,2026-02-26,2026-02-28,Cartagena,Colombia,"Join ACC President Chris Kramer, MD, FACC, for an ACC educational session.",
91st Annual Meeting of the German Cardiac Society,https://events.mcon-mannheim.de/frontend/index.php?sub=438,2026-04-08,2026-04-11,Mannheim,Germany,"Join ACC President Roxana Mehran, MD, FACC, and Keith Ferdinand, MD, FACC, for a joint session on the latest high blood pressure guidelines.  ",
37th Singapore Cardiac Society Annual Scientific Meeting,https://scsasm.org/,2026-04-17,2026-04-19,Singapore,Singapore,"Join ACC Immediate Past President Chris Kramer, MD, MACC, for an ACC educational session.",
Portuguese Cardiology Congress | CPC 2026,https://congressocpc.pt/,2026-04-24,2026-04-27,Porto,Portugal,"Join ACC President Roxana Mehran, MD, FACC, for an ACC educational session.",
National Congress of Italian Society of Hospital Cardiologists (ANMCO),https://congress.anmco.it/congresso-nazionale-2026/,2026-05-07,2026-05-09,Rimini,Italy,"Join Past ACC President Athena Poppas, MD, MACC, for a joint session focusing on prevention.",
National Heart Association of Malaysia Congress (NHAM2026),https://nhamconferences.com/,2026-05-08,2026-05-10,Kuala Lumpur,Malaysia,"Join Immediate Past Chair of the ACC Lifelong Learning Oversight Committee Andrew Kates, MD, FACC, for an ACC educational session.",
Asian Pacific Society of Cardiology Congress in Conjunction with Taiwan Society of Cardiology,https://apsc-tsoc2026.tw/,2026-05-14,2026-05-17,Taipei,Taiwan,"Join ACC Board of Trustees Member Pamela Morris, MD, FACC, for an educational talk on siRNA.",
42th Uruguayan Cardiology Congress (CardioSUC),https://cardiosuc2026.suc.org.uy/,2026-05-20,2026-05-22,Montevideo,Uruguay,"Join ACC Immediate Past President Chris Kramer, MD, MACC, for an ACC educational session.",
XLIII National Congress of Federation of Argentinian Cardiologists,https://congreso.fac.org.ar/,2026-05-28,2026-05-30,Rosario,Argentina,"Join ACC Vice President Hani Najm, MD, FACC, for an ACC educational session.",
